Town,County
Church Hill,Pembrokeshire
Church Hill,West Midlands
Church Hill,Cheshire
Church Hougham,Kent
Church Houses,North Yorkshire
Church Knowle,Dorset
Church Laneham,Nottinghamshire
Church Langton,Leicestershire
Church Lawford,Warwickshire
Church Lawton,Cheshire
Church Leigh,Staffordshire
Church Lench,Worcestershire
Church Mayfield,Derbyshire
Church Minshull,Cheshire
Church Norton,West Sussex
Church Oakley,Hampshire
Church Preen,Shropshire
Church Pulverbatch,Shropshire
Church Stoke,Powys
Church Stowe,Northamptonshire
Church Street,Essex
Church Street,Kent
Church Stretton,Shropshire
Church Town,Leicestershire
Church Town,Surrey
Church Town,Lincolnshire
Church Town,Cornwall
Church Village,Rhondda Cynon Taff
Church Warsop,Nottinghamshire
Church Westcote,Gloucestershire
Church Whitfield,Kent
Church Wilne,Derbyshire
Churcham,Gloucestershire
Churchbank,Shropshire
Churchbridge,Cornwall
Churchbridge,Staffordshire
Churchdown,Gloucestershire
Churchend,Essex
Churchend,Berkshire
Churchend,Gloucestershire
Churches Green,East Sussex
Churchfield,West Midlands
Churchfields,Wiltshire
Churchgate,Hertfordshire
Churchgate Street,Essex
Churchill,Worcestershire
Churchill,Oxfordshire
Churchill,Devon
Churchill,Somerset
Churchill Green,Somerset
Churchinford,Somerset
Churchmoor Rough,Shropshire
Churchover,Warwickshire
Churchstanton,Somerset
Churchstow,Devon
Churchton,Pembrokeshire
Churchtown,County Down
Churchtown,Shropshire
Churchtown,Lancashire
Churchtown,Cumbria
Churchtown,Devon
Churchtown,Somerset
Churchtown,Cornwall
Churchtown,Derbyshire
Churchtown,Merseyside
Churchwood,West Sussex
Churn,Gloucestershire
Churnet,Staffordshire
Churnet Grange,Staffordshire
Churscombe,Devon
Churston Ferrers,Devon
Churt,Hampshire
Churton,Cheshire
Churwell,West Yorkshire
Chute Cadley,Wiltshire
Chute Standen,Wiltshire
Chweffordd,Conwy
Chwefru,Powys
Chwilog,Gwynedd
Chwitffordd (Whitford),Flintshire
Chyandour,Cornwall
Chyanvounder,Cornwall
Chycoose,Cornwall
Chynhale,Cornwall
Chynoweth,Cornwall
Chyvarloe,Cornwall
Cicelyford,Monmouthshire
Cilau,Pembrokeshire
Cilcain,Flintshire
Cilcennin,Ceredigion
Cilcewydd,Powys
Cilfrew,Neath Port Talbot
Cilfynydd,Rhondda Cynon Taff
Cilgerran,Pembrokeshire
Cilgwyn,Gwynedd
Cilgwyn,Carmarthenshire
Cilgwyn,Ceredigion
Ciliau Aeron,Ceredigion
Cill Amhlaidh,Western Isles
Cill Donnain,Western Isles
Cill Eireabhagh,Western Isles
Cilmaengwyn,Neath Port Talbot
Cilmery,Powys
Cilsan,Carmarthenshire
Ciltwrch,Powys
Cilwendeg,Pembrokeshire
Cilybebyll,Neath Port Talbot
Cilycwm,Carmarthenshire
Cimla,Neath Port Talbot
Cinder Hill,Lancashire
Cinder Hill,Kent
Cinder Hill,West Sussex
Cinder Hill,West Midlands
Cinderford,Gloucestershire
Cinderhill,Derbyshire
Cinderhill,Nottinghamshire
Cindery Island,Essex
Cinnamon Brow,Cheshire
Cippenham,Berkshire
Cippyn,Pembrokeshire
Cirbhig,Western Isles
Circebost,Western Isles
Cirencester,Gloucestershire
City,Glamorgan
City,Powys
City Dulas,Anglesey/Sir Fon
Clabby,County Fermanagh
Clabhach,Argyll and Bute
Clachaig,Argyll and Bute
Clachaig,Highland
Clachan,Argyll and Bute
Clachan,Western Isles
Clachan,Highland
Clachan of Campsie,East Dunbartonshire
Clachan of Glendaruel,Argyll and Bute
Clachan-Seil,Argyll and Bute
Clachan-a-Luib,Western Isles
Clachbreck,Argyll and Bute
Clachnaharry,Highland
Clachtoll,Highland
Clackmannan,Clackmannanshire
Clackmarras,Moray
Clacton-on-Sea,Essex
Cladach,East Ayrshire
Claddach,Argyll and Bute
Claddach Illeray,Western Isles
Claddach Kirkibost,Western Isles
Claddach-knockline,Western Isles
Cladich,Argyll and Bute
Cladswell,Worcestershire
Clady,County Antrim
Clady,County Tyrone
Cladymilltown,County Armagh
Claggan,Highland
Claigan,Highland
Claiggain,Argyll and Bute
Claines,Worcestershire
Clairinsh,Stirlingshire
Clandown,Somerset
Clanfield,Oxfordshire
Clanfield,Hampshire
Clanking,Buckinghamshire
Clanville,Hampshire
Clanville,Wiltshire
Clanville,Somerset
Claonaig,Argyll and Bute
Claonaig Water,Argyll and Bute
Clap Hill,Kent
Clapgate,Dorset
Clapgate,Hertfordshire
Clapham,West Sussex
Clapham,Devon
Clapham,Greater London
Clapham,North Yorkshire
Clapham,Bedfordshire
Clapham Green,Bedfordshire
Clapham Green,North Yorkshire
Clapham Hill,Kent
Clapham Park,Greater London
Clapper,Cornwall
Clapper Hill,Kent
Clappersgate,Cumbria
Clapton,Somerset
Clapton,Berkshire
Clapton Park,Greater London
Clapton in Gordano,Somerset
Clapton-on-the-Hill,Gloucestershire
Clapworthy,Devon
Clara Vale,Tyne and Wear
Clarach,Ceredigion
Clarbeston,Pembrokeshire
Clarbeston Road,Pembrokeshire
Clarborough,Nottinghamshire
Clare,Suffolk
Clare,Oxfordshire
Claregate,Staffordshire
Claremont Park,Surrey
Claremount,West Yorkshire
Clarence Park,Somerset
Clarencefield,Dumfries and Galloway
Clarendon Park,Leicestershire
Clareston,Pembrokeshire
Clarilaw,Scottish Borders
Clark Green,Cheshire
Clarken Green,Hampshire
Clarksfield,Lancashire
Clarkston,North Lanarkshire
Clarkston,East Renfrewshire
Clase,Swansea
Clashandorran,Highland
Clashmore,Highland
Clashnessie,Highland
Clashnoir,Moray
Clate,Shetland Isles
Clatford,Wiltshire
Clatford Oakcuts,Hampshire
Clathy,Perth and Kinross
Clatt,Aberdeenshire
Clatter,Powys
Clatterford,Isle of Wight
Clatterford End,Essex
Clatto,Fife
Clatworthy,Somerset
Clatworthy Reservoir,Somerset
Clauchlands,East Ayrshire
Clauchlands Point,East Ayrshire
Claudy,County Londonderry
Claughton,Lancashire
Claughton,Merseyside
Clavelshay,Somerset
Claverdon,Warwickshire
Claverham,Somerset
Claverhambury,Essex
Clavering,Essex
Claverley,Shropshire
Claverton,Somerset
Claverton Down,Somerset
Clawdd Poncen,Denbighshire
Clawdd-coch,Glamorgan
Clawdd-newydd,Denbighshire
Clawthorpe,Cumbria
Clawton,Devon
Claxby,Lincolnshire
Claxton,North Yorkshire
Claxton,Norfolk
Clay Common,Suffolk
Clay Coton,Northamptonshire
Clay Cross,Derbyshire
Clay End,Hertfordshire
Clay Hill,Greater London
Clay Hill,Bristol
Clay Hill,Berkshire
Clay Lake,Lincolnshire
Clay Mills,Staffordshire
Claybrooke Magna,Leicestershire
Claybrooke Parva,Leicestershire
Claydon,Warwickshire
Claydon,Gloucestershire
Claydon,Suffolk
Claydon Brook,Buckinghamshire
Claygate,Surrey
Claygate,Dumfries and Galloway
Claygate,Kent
Claygate Cross,Kent
Clayhall,Hampshire
Clayhall,Greater London
Clayhanger,Staffordshire
Clayhanger,Somerset
Clayhanger,Devon
Clayhidon,Devon
Clayhill,Hampshire
Clayhill,East Sussex
Clayhithe,Cambridgeshire
Clayholes,Angus
Clayland,Stirlingshire
Claypit Hill,Cambridgeshire
Claypits,Gloucestershire
Claypits,Suffolk
Claypits,Kent
Claypole,Lincolnshire
Clays End,Somerset
Claythorpe,Lincolnshire
Clayton,South Yorkshire
Clayton,Greater Manchester
Clayton,Fife
Clayton,West Sussex
Clayton,Staffordshire
Clayton,West Yorkshire
Clayton Brook,Lancashire
Clayton Green,Lancashire
Clayton Heights,West Yorkshire
Clayton Le Dale,Lancashire
Clayton West,West Yorkshire
Clayton-Le-Moors,Lancashire
Clayton-le-Woods,Lancashire
Clayworth,Nottinghamshire
Cleadale,Highland
Cleadon,Tyne and Wear
Cleadon Park,Tyne and Wear
Clearbrook,Devon
Clearwell,Newport
Clearwood,Wiltshire
Cleasby,North Yorkshire
Cleat,Western Isles
Cleat,Orkney
Cleatlam,Durham
Cleator,Cumbria
Cleator Moor,Cumbria
Cleave,Devon
The Cleaver,Herefordshire
Cleckheaton,West Yorkshire
Cledan,Powys
Cleddon,Monmouthshire
Cledwen,Conwy
Clee St Margaret,Shropshire
Cleedownton,Shropshire
Cleehill,Shropshire
Cleekhimin,North Lanarkshire
Cleemarsh,Shropshire
Cleestanton,Shropshire
Cleethorpes,Lincolnshire
Cleeton St Mary,Shropshire
Cleeve,Gloucestershire
Cleeve,Oxfordshire
Cleeve,Somerset
Cleeve Hill,Gloucestershire
Cleeve Prior,Worcestershire
Cleghorn,South Lanarkshire
Clehonger,Herefordshire
Cleigh,Argyll and Bute
Cleish,Perth and Kinross
Cleland,North Lanarkshire
Clement Street,Kent
Clements End,Gloucestershire
Clench,Wiltshire
Clench Common,Wiltshire
Clenchwarton,Norfolk
Clennell,Northumberland
Clent,Worcestershire
Cleobury Mortimer,Shropshire
Cleobury North,Shropshire
Clephanton,Highland
Clerk Green,West Yorkshire
Clerkenwater,Cornwall
Clerkenwell,Greater London
Clerkhill,Aberdeenshire
Clerklands,Scottish Borders
Clermiston,Edinburgh
Cleuch Head,Scottish Borders
Clevancy,Wiltshire
Clevans,East Renfrewshire
Clevedon,Somerset
Cleveland Hills,North Yorkshire
Cleveley,Oxfordshire
Cleveleys,Lancashire
Cleverton,Wiltshire
Clewer,Somerset
Clewer Green,Berkshire
Clewer New Town,Berkshire
Clewer Village,Berkshire
Cley next the Sea,Norfolk
Cliasay More,Western Isles
Clibberswick,Shetland Isles
Cliburn,Cumbria
Cliddesden,Hampshire
Cliff,Western Isles
Cliff,Highland
Cliff,Derbyshire
Cliff,Warwickshire
Cliff End,East Sussex
Cliff End,West Yorkshire
Cliffburn,Angus
Cliffe,Kent
Cliffe,Lancashire
Cliffe,North Yorkshire
Cliffe Woods,Kent
Clifford,West Yorkshire
Clifford,Devon
Clifford,Herefordshire
Clifford Chambers,Warwickshire
Cliffs End,Kent
Clifftown,Essex
Clifton,Stirlingshire
Clifton,South Yorkshire
Clifton,Worcestershire
Clifton,Northumberland
Clifton,Lancashire
Clifton,Bristol
Clifton,Oxfordshire
Clifton,North Yorkshire
Clifton,Bedfordshire
Clifton,Devon
Clifton,Cumbria
Clifton,Greater Manchester
Clifton,Cheshire
Clifton,Derbyshire
Clifton,West Yorkshire
Clifton,Somerset
Clifton,Nottinghamshire
Clifton Campville,Staffordshire
Clifton Green,Greater Manchester
Clifton Hampden,Oxfordshire
Clifton Junction,Greater Manchester
Clifton Maybank,Dorset
Clifton Reynes,Buckinghamshire
Clifton Upton Teme,Worcestershire
Clifton upon Dunsmore,Warwickshire
Cliftonville,North Lanarkshire
Cliftonville,Norfolk
Cliftonville,Kent
Climping,West Sussex
Clinkham Wood,Merseyside
Clint,North Yorkshire
Clint Green,Norfolk
Clints,North Yorkshire
Clipiau,Powys
Clippesby,Norfolk
Clippings Green,Norfolk
Clipsham,Rutland
Clipston,Northamptonshire
Clipston,Nottinghamshire
Clipstone,Nottinghamshire
Clipstone,Bedfordshire
Clipstone Brook,Bedfordshire
Clisham,Western Isles
Clitheroe,Lancashire
Cliton Manor,Bedfordshire
Cliuthar,Western Isles
Clive,Cheshire
Clive,Shropshire
Clive Green,Cheshire
Clive Vale,East Sussex
Clivocast,Shetland Isles
Clixby,Lincolnshire
Cloatley,Wiltshire
Cloatley End,Wiltshire
Clocaenog,Denbighshire
Clochan,Moray
Clock Face,Merseyside
Clock House,Surrey
Clock Mills,Herefordshire
Cloddiau,Powys
Cloddymoss,Moray
Clodock,Herefordshire
Cloford,Somerset
Cloford Common,Somerset
Clogh,County Antrim
Clogh Mills,County Antrim
Cloghbrack,County Tyrone
Cloghcor,County Tyrone
Cloghera,County Tyrone
Cloghroe,County Down
Cloigyn,Carmarthenshire
Clola,Aberdeenshire
Clonelly,County Fermanagh
Clonfeacle,County Armagh
Clontivrin,County Fermanagh
Clophill,Bedfordshire
Clopton,Northamptonshire
Clopton Corner,Suffolk
Clopton Green,Suffolk
Close House,Durham
Closeburn,Dumfries and Galloway
Closworth,Somerset
Clothall,Hertfordshire
Clothall Common,Hertfordshire
Clotton,Cheshire
Clotton Common,Cheshire
Cloud Side,Staffordshire
Cloudesley Bush,Warwickshire
Clouds,Herefordshire
Clough,West Yorkshire
Clough,Lancashire
Clough,County Down
Clough Dene,Durham
Clough Foot,West Yorkshire
Clough Hall,Staffordshire
Clough Head,West Yorkshire
Cloughey,County Down
Cloughfold,Lancashire
Cloughmills,County Antrim
Cloughreagh,County Armagh
Cloughton,North Yorkshire
Cloughton Newlands,North Yorkshire
Clousta,Shetland Isles
Clouston,Orkney
Clova,Angus
Clove Hitch Quay,Greater London
Clovelly,Devon
Clovenfords,Scottish Borders
Clovenstone,Aberdeenshire
Clovullin,Highland
Clow Bridge,Lancashire
Clowance Wood,Cornwall
Clowne,Derbyshire
Clows Top,Worcestershire
Cloy,Wrexham
Cluanie,Highland
Clubmoor,Lancashire
Clubworthy,Cornwall
Cluddley,Shropshire
Clun,Shropshire
Clunbury,Shropshire
Clunderwen,Carmarthenshire
Clune,Highland
Clunes,Highland
Clungunford,Shropshire
Clunie,Perth and Kinross
Clunie Water,Aberdeenshire
Clunton,Shropshire
Cluny,Fife
Clutton,Cheshire
Clutton,Somerset
Clutton Hill,Somerset
Clwt-y-bont,Gwynedd
Clwyd,Denbighshire
Clwydyfagwyr,Merthyr Tydfil
Clydach,Monmouthshire
Clydach,Swansea
Clydach Terrace,Blaenau Gwent
Clydach Vale,Rhondda Cynon Taff
Clyde,North Lanarkshire
Clyde Burn,North Lanarkshire
Clydebank,West Dunbartonshire
Clyffe Pypard,Wiltshire
Clynder,Argyll and Bute
Clyne,Neath Port Talbot
Clynnog-fawr,Gwynedd
Clyro,Powys
Clyst,Devon
Clyst Honiton,Devon
Clyst Hydon,Devon
Clyst St George,Devon
Clyst St Lawrence,Devon
Clyst St Mary,Devon
Clywedog,Gwynedd
Clywedog,Wrexham
Cnoc Amhlaigh,Western Isles
Cnoc Ard,Western Isles
Cnoc Mairi,Western Isles
Cnoc an t-Solais,Western Isles
Cnoc nan Gobhar,Western Isles
Cnocbreac,Argyll and Bute
Cnocloisgte Water,Highland
Cnwch Coch,Ceredigion
Coagh,County Down
Coaghg,County Tyrone
Coal Aston,Derbyshire
Coal Bank,Durham
Coal Pool,Staffordshire
Coalbrookdale,Shropshire
Coalbrookvale,Blaenau Gwent
Coalburn,South Lanarkshire
Coalburns,Tyne and Wear
Coalcleugh,Northumberland
Coaley,Gloucestershire
Coaley Peak,Gloucestershire
Coalford,Aberdeenshire
Coalhall,East Ayrshire
Coalhill,Essex
Coalisland,County Tyrone
Coalmoor,Shropshire
Coalpit Field,Warwickshire
Coalpit Heath,Gloucestershire
Coalpit Hill,Staffordshire
Coalport,Shropshire
Coalsnaughton,Clackmannanshire
Coaltown of Balgonie,Fife
Coaltown of Burnturk,Fife
Coaltown of Wemyss,Fife
Coalville,Leicestershire
Coalway,Gloucestershire
Coanwood,Northumberland
Coarsewell,Devon
Coat,Somerset
Coatbridge,North Lanarkshire
Coatdyke,North Lanarkshire
Coate,Wiltshire
Coates,Midlothian
Coates,West Sussex
Coates,Nottinghamshire
Coates,Lancashire
Coates,Cambridgeshire
Coates,Gloucestershire
Coates,Lincolnshire
Coatham,West Yorkshire
Coatham Mundeville,Durham
Cobb,Devon
Cobbaton,Devon
Cobbs,Cheshire
Cobbs Fenn,Essex
Cobby Syke,North Yorkshire
Cober,Cornwall
Coberley,Gloucestershire
Cobhall Common,Herefordshire
Cobham,Kent
Cobham,Surrey
Cobholm Island,Norfolk
Cobley,Dorset
Cobley Hill,Worcestershire
Cobnash,Herefordshire
Cobridge,Staffordshire
Cobscot,Shropshire
Cock & End,Suffolk
Cock Alley,Derbyshire
Cock Bank,Wrexham
Cock Beck,North Yorkshire
Cock Beck,West Yorkshire
Cock Bevington,Warwickshire
Cock Clarks,Essex
Cock Gate,Herefordshire
Cock Green,Essex
Cock Hill,North Yorkshire
Cock Marling,East Sussex
Cock Street,Suffolk
Cock Street,Kent
Cock of Arran,East Ayrshire
Cockayne,North Yorkshire
Cockayne Hatley,Bedfordshire
Cockburnspath,Scottish Borders
Cockden,Lancashire
Cockenzie and Port Seton,East Lothian
Cocker,Cumbria
Cocker Bar,Lancashire
Cockerham,Lancashire
Cockermouth,Cumbria
Cockernhoe,Bedfordshire
Cockersdale,West Yorkshire
Cockerton,Durham
Cockett,Swansea
Cockfield,Durham
Cockfield,Suffolk
Cockfosters,Greater London
Cockhill,Somerset
Cocking,West Sussex
Cocking Causeway,West Sussex
Cockington,Devon
Cocklake,Somerset
Cockleford,Gloucestershire
Cockley Beck,Cumbria
Cockley Cley,Norfolk
Cockley Hill,West Yorkshire
Cocknowle,Dorset
Cockpole Green,Berkshire
Cocks,Cornwall
Cocks Green,Suffolk
Cockshead,Ceredigion
Cockshoot,Herefordshire
Cockshutford,Shropshire
Cockshutt,Shropshire
Cockthorpe,Norfolk
Cockwells,Cornwall
Cockwood,Devon
Cockwood,Somerset
Cockyard,Derbyshire
Cockyard,Herefordshire
Cod Beck,North Yorkshire
Coddenham,Suffolk
Coddenham Green,Suffolk
Coddington,Nottinghamshire
Coddington,Cheshire
Coddington,Herefordshire
Codford St Mary,Wiltshire
Codford St Peter,Wiltshire
Codicote,Hertfordshire
Codicote Bottom,Hertfordshire
Codmore,Buckinghamshire
Codmore Hill,West Sussex
Codnor,Derbyshire
Codnor Breach,Derbyshire
Codnor Gate,Derbyshire
Codnor Park,Derbyshire
Codrington,Gloucestershire
Codsall,Staffordshire
Codsall Wood,Shropshire
Codsend,Somerset
Coed Cwnwr,Monmouthshire
Coed Duon (Blackwood),Caerphilly
Coed Eva,Torfaen
Coed Mawr,Gwynedd
Coed Morgan,Monmouthshire
Coed Ystumgwern,Gwynedd
Coed y Garth,Ceredigion
Coed y go,Shropshire
Coed-Llai (Leeswood),Flintshire
Coed-talon,Flintshire
Coed-y-bryn,Ceredigion
Coed-y-caerau,Newport
Coed-y-fedw,Monmouthshire
Coed-y-paen,Monmouthshire
Coed-y-parc,Gwynedd
Coed-y-wlad,Powys
Coed-yr-ynys,Powys
Coedcae,Torfaen
Coedcae,Blaenau Gwent
Coedely,Rhondda Cynon Taff
Coedkernew,Newport
Coedpoeth,Wrexham
Coedway,Shropshire
Coelbren,Powys
Coffee Hall,Buckinghamshire
Coffinswell,Devon
Cofton,Devon
Cofton Common,West Midlands
Cofton Hackett,Worcestershire
Cog,Glamorgan
Cogan,Glamorgan
Cogenhoe,Northamptonshire
Cogges,Oxfordshire
Coggeshall,Essex
Coggeshall Hamlet,Essex
Coggins Mill,East Sussex
Coig Peighinnean,Western Isles
Coig Peighinnean Bhuirgh,Western Isles
Coilleag,Western Isles
Coillore,Highland
Coiltie,Highland
Coire an Fhuarain,Western Isles
Coirefois Burn,Highland
Coisley Hill,South Yorkshire
Coity,Glamorgan
Cokenach,Hertfordshire
Cokhay Green,Derbyshire
Col,Western Isles
Col Uarach,Western Isles
Colan,Cornwall
Colaton Raleigh,Devon
Colbost,Highland
Colburn,North Yorkshire
Colby,Cumbria
Colby,Norfolk
Colchester,Essex
Colchester Green,Suffolk
Colcot,Glamorgan
Cold Ash,Berkshire
Cold Ash Hill,Hampshire
Cold Ashby,Northamptonshire
Cold Ashton,Gloucestershire
Cold Aston,Gloucestershire
Cold Blow,Pembrokeshire
Cold Brayfield,Buckinghamshire
Cold Christmas,Hertfordshire
Cold Cotes,North Yorkshire
Cold Elm,Worcestershire
Cold Hanworth,Lincolnshire
Cold Harbour,Oxfordshire
Cold Harbour,Lincolnshire
Cold Harbour,Wiltshire
Cold Harbour,Hertfordshire
Cold Harbour,Kent
Cold Harbour,Berkshire
Cold Harbour,Dorset
Cold Hatton,Shropshire
Cold Hatton Heath,Shropshire
Cold Hesledon,Durham
Cold Hiendley,West Yorkshire
Cold Higham,Northamptonshire
Cold Inn,Pembrokeshire
Cold Kirby,North Yorkshire
Cold Moss Heath,Cheshire
Cold Newton,Leicestershire
Cold Northcott,Cornwall
Cold Norton,Essex
Cold Overton,Leicestershire
Cold Row,Lancashire
Cold Well,Staffordshire
Coldbackie,Highland
Coldblow,Greater London
Coldbrook,Powys
Coldean,East Sussex
Coldeast,Devon
Coldeaton,Staffordshire
Colden,West Yorkshire
Colden Common,Hampshire
Coldfair Green,Suffolk
Coldham,Cambridgeshire
Coldham,Staffordshire
Coldharbour,Surrey
Coldharbour,Greater London
Coldharbour,Gloucestershire
Coldharbour,Kent
Coldharbour,Devon
Coldharbour,Cornwall
Coldharbour,Dorset
Coldingham,Scottish Borders
Coldmeece,Staffordshire
Coldoch,Stirlingshire
Coldra,Newport
Coldred,Kent
Coldridge,Devon
Coldstream,Scottish Borders
Coldvreath,Cornwall
Coldwaltham,West Sussex
Cole,Somerset
Cole,Wiltshire
Cole End,Essex
Cole End,Warwickshire
Cole Green,Hertfordshire
Cole Henley,Hampshire
Cole Park,Greater London
Colebatch,Shropshire
Colebrook,Devon
Colebrooke,Devon
Coleby,Lincolnshire
Coleford,Devon
Coleford,Somerset
Coleford,Gloucestershire
Coleford Water,Somerset
Colegate End,Norfolk
Colehall,West Midlands
Colehill,Dorset
Coleman Green,Hertfordshire
Colemere,Shropshire
Colemore,Hampshire
Colemore Green,Shropshire
Coleorton,Leicestershire
Coleorton Moor,Leicestershire
Coleraine,County Londonderry
Coleraine,Greater London
Colerne,Wiltshire
Coles Green,Suffolk
Coles Green,Worcestershire
Coles Meads,Surrey
Colesbourne,Gloucestershire
Colesbrook,Dorset
Colesden,Bedfordshire
Coleshill,Warwickshire
Coleshill,Wiltshire
Coleshill,Buckinghamshire
Colestocks,Devon
Colethrop,Gloucestershire
Coley,Somerset
Coley,Berkshire
Coley,West Yorkshire
Colgate,West Sussex
Colham Green,Greater London
Colindale,Greater London
Colinsburgh,Fife
Colinton,Edinburgh
Colintraive,Argyll and Bute
Colkirk,Norfolk
Coll,Argyll and Bute
Coll,Western Isles
Collafield,Gloucestershire
Collafirth,Shetland Isles
Collam,Western Isles
Collamoor Head,Cornwall
Collaton,Devon
Collaton St Mary,Devon
College Milton,North Lanarkshire
College Park,Greater London
College Town,Berkshire
College of Roseisle,Moray
Collennan,East Ayrshire
Collessie,Fife
Colleton Mills,Devon
Collier Row,Greater London
Collier Street,Kent
Colliers End,Hertfordshire
Colliers Hatch,Essex
Colliers Wood,Greater London
Colliery Row,Durham
Collieston,Aberdeenshire
Colliford Lake Reservoir,Cornwall
Collin,Dumfries and Galloway
Collingbourne Ducis,Wiltshire
Collingbourne Kingston,Wiltshire
Collingham,West Yorkshire
Collingham,Nottinghamshire
Collington,Herefordshire
Collingtree,Northamptonshire
Collingwood,Northumberland
Collins End,Oxfordshire
Collins Green,Cheshire
Collins Green,Lancashire
Collipriest,Devon
Colliston,Angus
Colliton,Devon
Collycroft,Warwickshire
Collyhurst,Greater Manchester
Collyweston,Northamptonshire
Colmonell,South Ayrshire
Colmslie,Scottish Borders
Colmsliehill,Scottish Borders
Colmworth,Bedfordshire
Coln,Gloucestershire
Coln Rogers,Gloucestershire
Coln St Aldwyns,Gloucestershire
Coln St Dennis,Gloucestershire
Colnbrook,Berkshire
Colne,Essex
Colne,Buckinghamshire
Colne,Hertfordshire
Colne,West Yorkshire
Colne,Cambridgeshire
Colne,Lancashire
Colne,Surrey
Colne Bridge,West Yorkshire
Colne Brook,Berkshire
Colne Brook,Buckinghamshire
Colne Edge,Lancashire
Colne Engaine,Essex
Colne Point,Essex
Colne Water,Lancashire
Colnefields,Cambridgeshire
Colney,Norfolk
Colney Hatch,Greater London
Colney Heath,Hertfordshire
Colney Street,Hertfordshire
Colonsay,Argyll and Bute
Colpitts Grange,Northumberland
Colpy,Aberdeenshire
Colsay,Shetland Isles
Colscott,Devon
Colshaw,Staffordshire
Colsterdale,North Yorkshire
Colsterworth,Lincolnshire
Colston,Pembrokeshire
Colston,Glasgow
Colston Bassett,Nottinghamshire
Colstrope,Buckinghamshire
Colt Hill,Hampshire
Colt Park,Cumbria
Coltfield,Moray
Colthouse,Cumbria
Colthrop,Berkshire
Coltishall,Norfolk
Coltness,North Lanarkshire
Colton,West Yorkshire
Colton,Cumbria
Colton,Staffordshire
Colton,Suffolk
Colton,Norfolk
Colton,North Yorkshire
Colton Hills,Staffordshire
Columbia,Tyne and Wear
Columbjohn,Devon
Colva,Powys
Colvister,Shetland Isles
Colwall,Herefordshire
Colwall Green,Herefordshire
Colwall Stone,Herefordshire
Colwell,Northumberland
Colwich,Staffordshire
Colwick,Nottinghamshire
Colwinston,Glamorgan
Colworth,West Sussex
Colworth Ho,Bedfordshire
Colwyn,Gwynedd
Colwyn Bay (Bae Colwyn),Conwy
Colyford,Devon
Colyton,Devon
Combe,East Sussex
Combe,Somerset
Combe,Devon
Combe,Herefordshire
Combe,Berkshire
Combe,Oxfordshire
Combe Almer,Dorset
Combe Common,Surrey
Combe Down,Somerset
Combe Fishacre,Devon
Combe Florey,Somerset
Combe Hay,Somerset
Combe Martin,Devon
Combe Moor,Herefordshire
Combe Pafford,Devon
Combe Raleigh,Devon
Combe St Nicholas,Somerset
Combe Throop,Somerset
Combebow,Devon
Combeinteignhead,Devon
Comber,County Down
Comberbach,Cheshire
Comberford,Staffordshire
Comberton,Herefordshire
Comberton,Cambridgeshire
Combpyne,Devon
Combrew,Devon
Combridge,Staffordshire
Combrook,Warwickshire
Combs,Suffolk
Combs,West Yorkshire
Combs,Derbyshire
Combs Ford,Suffolk
Combwich,Somerset
Come-to-Good,Cornwall
Comers,Aberdeenshire
Comeytrowe,Somerset
Comford,Cornwall
Comfort,Cornwall
Comhampton,Worcestershire
Comins Coch,Ceredigion
Comiston,Edinburgh
Comley,Shropshire
Commercial End,Cambridgeshire
Commins,Denbighshire
Commins Coch,Powys
Common Cefn-llwyn,Monmouthshire
Common Edge,Lancashire
Common End,Derbyshire
Common End,Cumbria
Common Hill,Herefordshire
Common Moor,Cornwall
Common Platt,Wiltshire
Common Side,Derbyshire
Common Side,Cheshire
The Common,Swansea
The Common,Suffolk
The Common,Wiltshire
Common-y-coed,Monmouthshire
Commondale,North Yorkshire
Commonside,Derbyshire
Commonside,Cheshire
Commonwood,Hertfordshire
Commonwood,Shropshire
Commonwood,Wrexham
Comp,Kent
Compass,Somerset
Compstall,Cheshire
Compton,Berkshire
Compton,Surrey
Compton,West Yorkshire
Compton,West Sussex
Compton,Derbyshire
Compton,Staffordshire
Compton,Devon
Compton,Wiltshire
Compton,Hampshire
Compton Abbas,Dorset
Compton Abdale,Gloucestershire
Compton Bassett,Wiltshire
Compton Beauchamp,Oxfordshire
Compton Bishop,Somerset
Compton Chamberlayne,Wiltshire
Compton Common,Somerset
Compton Dando,Somerset
Compton Dundon,Somerset
Compton Durville,Somerset
Compton End,Hampshire
Compton Green,Gloucestershire
Compton Greenfield,Gloucestershire
Compton Martin,Somerset
Compton Pauncefoot,Somerset
Compton Valence,Dorset
Comrie,Perth and Kinross
Comrie,Fife
Cona River,Highland
Conanby,South Yorkshire
Conchra,Argyll and Bute
Concord,Durham
Conder,Lancashire
Conder Green,Lancashire
Conderton,Worcestershire
Condicote,Gloucestershire
Condorrat,North Lanarkshire
Condover,Shropshire
Coney Hall,Greater London
Coney Hill,Gloucestershire
Coney Weston,Suffolk
Coneygar,Dorset
Coneyhurst,West Sussex
Coneysthorpe,North Yorkshire
Coneythorpe,North Yorkshire
Conford,Hampshire
Congelow,Kent
Congerstone,Leicestershire
Congham,Norfolk
Congl-y-wal,Gwynedd
Conglass Water,Moray
Congleton,Cheshire
Congleton Edge,Cheshire
Congresbury,Somerset
Congresbury Yeo,Somerset
Congreve,Staffordshire
Conham,Gloucestershire
Conicavel,Moray
Conieglan Water,Argyll and Bute
